"id";"name"
"c1";"Учредитель / собственник бизнеса"
"c2";"Покупатели (розничные, наличный расчёт)"
"c3";"АО «Т-Банк» (эквайринг/СБП)"
"c4";"ИП Кондратьева Т.И. (кондитерский цех)"
"c5";"ООО «ТехноБар»"
"c6";"ООО «МолТорг»"
"c7";"ООО «Айко Рус»"
"c8";"АО «Т-Банк»"
"c9";"ООО «Меридиан Недвижимость»"
"c10";"ООО «КофеТрейд»"
"c11";"ООО «УпакСнаб»"
"c12";"АО «Горэнергосбыт»"
"c13";"ПАО «Ростелеком»"
"c14";"ООО «Директ Медиа»"
"c15";"Смирнова Е.В. (бариста)"
"c16";"Петров И.Д. (бариста)"
"c17";"Ковалёва А.С. (бариста)"
"c18";"Николаев Д.М. (бариста)"
"c19";"ФНС России (ЕНП)"
"c20";"ИП Мастеров С.П. (сервис кофемашин)"
"c21";"ООО «МедЦентр Плюс»"
